,filename,artist,title
7720,36301.jpg,Claude Monet,Burgo Marina at Bordighera
7740,14089.jpg,Claude Monet,"Storm, off the Coast of Belle-Ile"
7745,22043.jpg,Claude Monet,"The Promenade at Argenteuil, Soleil Couchant"
7748,17158.jpg,Claude Monet,Bouquet of Sunflowers
7772,37612.jpg,Jean-Baptiste-Camille Corot,Rocks in a Glade
7795,3897.jpg,Pierre-Auguste Renoir,Nude Seated on a Sofa
7808,32888.jpg,Claude Monet,Jean Monet in the Craddle
7830,33661.jpg,Claude Monet,Water Lilies and Weeping Willow Branches
7916,10704.jpg,Claude Monet,Shadows on the Sea at Pourville
7941,14933.jpg,Claude Monet,NOT DETECTED
7965,29071.jpg,Claude Monet,Lunch on the Grass (study)
8090,39733.jpg,Claude Monet,"Church at Varengeville, Morning"
8124,3595.jpg,Claude Monet,View of Argenteuil in the Snow
8194,14923.jpg,Claude Monet,Snow at Argenteuil
8214,16344.jpg,Claude Monet,"Path under the Rose Trellises, Giverny"
8227,25820.jpg,Claude Monet,"Saint-Lazare Gare,  Normandy Train"
8305,101459.jpg,Claude Monet,Water Lilies
8334,28827.jpg,Pierre-Auguste Renoir,Head of a Dog
8432,27370.jpg,Pierre-Auguste Renoir,Child with a Whip
8548,36495.jpg,Claude Monet,NOT DETECTED
8706,10319.jpg,Claude Monet,Yellow Irises and Malva
8876,26520.jpg,Claude Monet,The Pave de Chailly in the Forest
8883,34914.jpg,Boris Kustodiev,Tsar Nicholas II
8888,33231.jpg,Claude Monet,Poplars on the Banks of the Epte
8958,26903.jpg,Claude Monet,Flowers at Vetheuil
8982,38596.jpg,Claude Monet,Fruit Basket with Apples and Grapes
9026,26214.jpg,Claude Monet,"Charing Cross Bridge, Overcast Weather"
9030,12330.jpg,Claude Monet,Railway Bridge at Argenteuil
9174,14020.jpg,Claude Monet,Water Lilies
9554,28779.jpg,Claude Monet,The Sheltered Path
9803,1547.jpg,Claude Monet,NOT DETECTED
9806,32553.jpg,Claude Monet,Lunch on the Grass
9824,33947.jpg,Claude Monet,"Zaandam, Canal"
10071,101522.jpg,Claude Monet,Rain in Belle-Ile
10197,21770.jpg,Claude Monet,Sunset on the Siene
10198,29797.jpg,Claude Monet,House of Parliament Sun
10419,36808.jpg,Claude Monet,The Beach at Trouville
10461,31640.jpg,Jean-Baptiste-Camille Corot,Agostina
10586,14659.jpg,Claude Monet,Water Lilies and Agapanthus
10757,22894.jpg,Claude Monet,Ice on the Siene at Bennecourt
10933,33846.jpg,Jean-Baptiste-Camille Corot,Saint Andre en Morvan
11052,32511.jpg,Jean-Baptiste-Camille Corot,Forest Entrance at Ville d'Avray
11156,26511.jpg,Claude Monet,Landscape at Giverny
11278,10330.jpg,Claude Monet,The Valley of Creuse at Fresselines
11339,21590.jpg,Boris Kustodiev,Blue House
11412,16872.jpg,Pierre-Auguste Renoir,Portrait of Margot (Portrait of a Model)
11465,101871.jpg,Paul Gauguin,The Royal End
11478,39939.jpg,Boris Kustodiev,At the Old Suzdal
11483,29569.jpg,Claude Monet,Garden in Bloom at Sainte-Addresse
11592,22253.jpg,Claude Monet,Water Lilies
11629,36164.jpg,Jean-Baptiste-Camille Corot,Rocks in Amalfi
11632,13819.jpg,Claude Monet,Water Lilies
11649,25972.jpg,Claude Monet,Christmas Roses
11651,22856.jpg,Claude Monet,The Manneport
11688,15692.jpg,Claude Monet,The Train in the Country
11717,100690.jpg,Boris Kustodiev,At The Fair
11722,23475.jpg,Claude Monet,The Road to the Farm of Saint-Simeon in Winter
11759,22104.jpg,Claude Monet,Fontainebleau Forest
11788,39216.jpg,Claude Monet,White Azaleas in a Pot
11794,23298.jpg,Claude Monet,Water Lily Pond
11795,39173.jpg,Claude Monet,The Railway Bridge at Argenteuil
11805,31614.jpg,Claude Monet,The Promenade at Argenteuil 02
11828,14300.jpg,Claude Monet,"Paysage of Norway, the Blue Houses"
11901,13628.jpg,Claude Monet,The Banks of the Seine at the Argenteuil Bridge
11947,26086.jpg,Claude Monet,Water Lilies
11948,35375.jpg,Claude Monet,The Railway Bridge at Argenteuil
12042,24910.jpg,Claude Monet,Camille with Green Parasol
12053,15966.jpg,Claude Monet,Boaters at Argenteuil
12080,20707.jpg,Claude Monet,"Rouen Cathedral, Study of the Portal"
12097,34628.jpg,Claude Monet,"Water Lilies, The Clouds"
12234,18393.jpg,Claude Monet,"Mediteranian Coast, Grey Day"
12311,31787.jpg,Claude Monet,Ice Floes on the Seine at Bougival
12339,11309.jpg,Claude Monet,Portrait of Eugenie Graff (Madame Paul) 
12410,20869.jpg,Claude Monet,"The Manneport, Reflections of Water"
12421,31545.jpg,Claude Monet,Morning on the Seine at Giverny 02
12439,103124.jpg,Claude Monet,The Bridge at Bougival
12453,33924.jpg,Claude Monet,The Towpath at Granval
12471,15052.jpg,Claude Monet,View over Vetheuil
12480,102612.jpg,Claude Monet,Charing Cross Bridge 02
12489,37893.jpg,Claude Monet,Path in the Fog
12501,24717.jpg,Claude Monet,Road to the Saint-Simeon Farm
12537,10243.jpg,Pierre-Auguste Renoir,Claude Monet Reading
12571,14722.jpg,Claude Monet,Houses at Argenteuil
12573,20847.jpg,Claude Monet,"Port of Dieppe, Evening"
12609,34361.jpg,Claude Monet,"The Seacoast of Pourville, Low Tide"
12638,16166.jpg,Claude Monet,"Bordighera, the House of Gardener"
12649,26815.jpg,Claude Monet,The Seine at Bougival in the Evening
12681,15227.jpg,Claude Monet,Dieppe
12690,20822.jpg,Claude Monet,The Garden Gate at Vetheuil
12754,16948.jpg,Claude Monet,Valley of the Creuse (Grey Day) 
12755,101901.jpg,Pierre-Auguste Renoir,The Swing (La Balançoire)
12809,24731.jpg,Claude Monet,Water Lilies
12846,102751.jpg,Boris Kustodiev,The Consecration of Water on the Theophany
13231,24634.jpg,Boris Kustodiev,On the Terrace 
13420,11405.jpg,Boris Kustodiev,Russian Venus
13483,19302.jpg,Boris Kustodiev,Bathing
13513,10935.jpg,Boris Kustodiev,Winter
13545,38120.jpg,Boris Kustodiev,Beauty
13805,35935.jpg,Pierre-Auguste Renoir,Woman on a Staircase
13897,38931.jpg,Boris Kustodiev,"Portrait of Ivan Yershov, the role of Siegfried"
13961,30299.jpg,Jean-Baptiste-Camille Corot,"Christine Nilson, or The Bohemian with a Mandolin"
13971,31466.jpg,Jean-Baptiste-Camille Corot,Girl Reading
13975,22491.jpg,Jean-Baptiste-Camille Corot,"Self Portrait, Sitting next to an Easel"
14440,23783.jpg,Boris Kustodiev,The Merchant's Wife at Tea 
14495,18197.jpg,Pierre-Auguste Renoir,Umbrellas
14705,18292.jpg,Boris Kustodiev,Portrait of Peter Kapitza and Nikolai Semyonov 
14768,22964.jpg,Pierre-Auguste Renoir,Dancer with Castanettes
14796,25851.jpg,Boris Kustodiev,Summer holiday
15322,29123.jpg,Martiros Saryan,Scene from the Train Window
15364,12164.jpg,Martiros Saryan,View of the Gorge from the Pushkin Pass
15608,30765.jpg,Martiros Saryan,"Ararat, a study for 'Armenia'"
15631,36213.jpg,Camille Pissarro,Young Flemish maid
15651,10607.jpg,Pierre-Auguste Renoir,Dance in the Country
15813,35364.jpg,Camille Pissarro,"The Pont Boieldieu, Rouen, Damp Weather"
15843,102376.jpg,Camille Pissarro,Peasants Resting
15848,13133.jpg,Pierre-Auguste Renoir,A Road in Louveciennes
15864,20455.jpg,Camille Pissarro,The Pavillion de Flore and the Pont Royal
15869,19205.jpg,Camille Pissarro,"The Malaquais Quay in the Morning, Sunny Weather"
15878,102973.jpg,Camille Pissarro,"The Fishmarket, Dieppe, Grey Weather, Morning"
15890,34566.jpg,Pierre-Auguste Renoir,Alphonsine Fournaise on the Isle of Chatou
15903,21221.jpg,Pierre-Auguste Renoir,A Walk by the Sea
15914,22939.jpg,Pierre-Auguste Renoir,The Promenade
15922,27098.jpg,Pierre-Auguste Renoir,Field and Haystacks
15931,30508.jpg,Camille Pissarro,Forest scene with two figures
15948,32774.jpg,Camille Pissarro,"The Louvre, Afternoon"
15957,22951.jpg,Pierre-Auguste Renoir,Path Leading through Tall Grass
15959,23431.jpg,Pierre-Auguste Renoir,Mother Goose
15991,28943.jpg,Pierre-Auguste Renoir,Apples and Grapes
15993,3431.jpg,Camille Pissarro,Mardi Gras on the Boulevards
16030,37120.jpg,Camille Pissarro,"The Fair in Dieppe, Sunny Morning"
16061,12071.jpg,Camille Pissarro,"View of the Cotton Mill at Oissel, near Rouen"
16072,37572.jpg,Pierre-Auguste Renoir,Rocks at l'Estaque
16090,36709.jpg,Pierre-Auguste Renoir,Mount Sainte Victoire
16094,22520.jpg,Camille Pissarro,"The Saint Sever Quay, Rouen"
16096,15149.jpg,Camille Pissarro,"The Pont Boieldieu, Rouen, Sunset"
16097,16877.jpg,Camille Pissarro,The Tuileries Gardens Snow Effect
16123,18793.jpg,Pierre-Auguste Renoir,Essoyes Landscape
16162,10484.jpg,Pierre-Auguste Renoir,Landscape at Beaulieu
16176,29795.jpg,Pierre-Auguste Renoir,The Rose Garden at Wargemont
16195,38188.jpg,Camille Pissarro,View Across Stamford Brook Common
16231,39980.jpg,Pierre-Auguste Renoir,Road near Cagnes
16237,100814.jpg,Camille Pissarro,"Rouen, Fog Effect"
16241,32245.jpg,Pierre-Auguste Renoir,Bathers
16242,102535.jpg,Camille Pissarro,Forest in Evening
16280,21439.jpg,Camille Pissarro,"Pontoise, Les Mathurins"
16282,25627.jpg,Camille Pissarro,Village Church
16291,26189.jpg,Camille Pissarro,The Roundelay
16317,13685.jpg,Martiros Saryan,Kirovakan Village
16339,37397.jpg,Camille Pissarro,"Landscape, near Pontoise"
16343,34975.jpg,Camille Pissarro,Enclosed Field at Eragny
16351,10103.jpg,Camille Pissarro,"Pont Neuf, the Statue of Henri IV, Sunny Weather, Morning"
16353,36468.jpg,Camille Pissarro,Boulevard Montmartre Foggy Morning
16368,23115.jpg,Pierre-Auguste Renoir,The Laundress
16371,1137.jpg,Camille Pissarro,"A part of Jallais, Pontoise"
16391,20258.jpg,Paul Gauguin,NIght Cafe in Arles (Madame Ginoux) 
16434,24143.jpg,Camille Pissarro,Bathers 3
16438,26500.jpg,Pierre-Auguste Renoir,Landscape in La Roche Guyon
16443,103120.jpg,Pierre-Auguste Renoir,Banks of the River
16448,21979.jpg,Pierre-Auguste Renoir,The Village
16452,15533.jpg,Camille Pissarro,Farm at Montfoucault
16512,15588.jpg,Camille Pissarro,Laundring Women. Eragny sur Eptes
16527,13723.jpg,Pierre-Auguste Renoir,Woman in a Landscape
16551,2956.jpg,Pierre-Auguste Renoir,Banks of a River
16557,36840.jpg,Camille Pissarro,"Boulevard Montmartre Morning, Grey Weather"
16573,36461.jpg,Camille Pissarro,The Pont Neuf
16610,10460.jpg,Pierre-Auguste Renoir,The Vineyards of Cagnes
16621,31675.jpg,Camille Pissarro,Pink Peonies
16690,32376.jpg,Camille Pissarro,Farmyard in Pontoise
16752,25554.jpg,Pierre-Auguste Renoir,Woman At the Chest
16762,396.jpg,Camille Pissarro,The Port of Le Havre 2
16764,35374.jpg,Camille Pissarro,"Kitchen Garden in Eragny, Afternoon"
16766,32169.jpg,Camille Pissarro,"The Climbing Path, l'Hermitage"
16774,36490.jpg,Pierre-Auguste Renoir,The Path
16813,32554.jpg,Pierre-Auguste Renoir,Walls in Spain
16815,35541.jpg,Camille Pissarro,Street Winter Sunlight and Snow
16915,100318.jpg,Camille Pissarro,Haystack Eragny
16918,31887.jpg,Camille Pissarro,Apple Tree at Eragny
16927,3274.jpg,Pierre-Auguste Renoir,The Cup of Chocolate
16935,31305.jpg,Pierre-Auguste Renoir,Place de la Trinite
16959,16924.jpg,Camille Pissarro,Haymaking in Eragny
16966,100132.jpg,Camille Pissarro,"The Seine at Paris, Pont Royal"
16968,24558.jpg,Pierre-Auguste Renoir,Landscape
17016,30692.jpg,Pierre-Auguste Renoir,Portrait of Edmond Maitre (The Reader)
17035,12693.jpg,Pierre-Auguste Renoir,Cagnes Landscape
17047,27640.jpg,Camille Pissarro,"The Pont Corneille, Rouen, Morning Effect"
17055,15133.jpg,Camille Pissarro,A Road in Louveciennes
17061,33890.jpg,Camille Pissarro,Flood in Pontoise
17069,23466.jpg,Pierre-Auguste Renoir,Berthe Morisot and Her Daughter Julie Manet
17080,2763.jpg,Camille Pissarro,"The Auvers Road, Pontoise"
17082,101019.jpg,Pierre-Auguste Renoir,The Canoeist's Luncheon
17085,37449.jpg,Camille Pissarro,Landscape with Small Stream
17127,17801.jpg,Camille Pissarro,The Lock at Pontoise
17150,11424.jpg,Camille Pissarro,"The Banks of the Seine in Paris, Pont Marie, Quai d'Anjou"
17152,3497.jpg,Pierre-Auguste Renoir,Landscape at Cagnes
17169,27740.jpg,Camille Pissarro,Garden at Eragny (study)
17173,27739.jpg,Pierre-Auguste Renoir,Le Jardin de la Poste (Cagnes)
17197,10310.jpg,Camille Pissarro,Peasants and Hay Stacks
17218,26820.jpg,Camille Pissarro,Boulevard Montmartre Spring Rain
17244,24480.jpg,Pierre-Auguste Renoir,Mediterranean landscape
17246,101634.jpg,Camille Pissarro,The Pont Royal and the Pavillion de Flore
17248,26157.jpg,Camille Pissarro,Potato Harvest
17251,12441.jpg,Pierre-Auguste Renoir,Reclining Nude (The Baker's Wife)
17293,34761.jpg,Camille Pissarro,"Place du Carrousel, the Tuileries Gardens"
17300,2653.jpg,Camille Pissarro,"Boulevard Montmartre Morning, Sunlight and Mist"
17319,15244.jpg,Pierre-Auguste Renoir,Cagnes Landscape with Woman and Child
17335,33435.jpg,Camille Pissarro,Landscape at Osny near watering
17339,24929.jpg,Pierre-Auguste Renoir,Essoyes Landscape Washerwoman and Bathers
17365,13259.jpg,Camille Pissarro,"London, St. Paul's Cathedral"
17369,24404.jpg,Pierre-Auguste Renoir,Cagnes Landscape
17386,37517.jpg,Pierre-Auguste Renoir,Cliffs on the Coast Near Pourville
17428,27236.jpg,Camille Pissarro,"Pere Melon Sawing Wood, Pontoise"
17451,101583.jpg,Pierre-Auguste Renoir,House and Figure among the Trees
17474,33516.jpg,Camille Pissarro,"Trees on a Hill, Autumn, Landscape in Louveciennes"
17495,2285.jpg,Pierre-Auguste Renoir,Landscape
17500,11606.jpg,Pierre-Auguste Renoir,Seated Woman in Blue
17512,10297.jpg,Camille Pissarro,Steamboats
17522,28365.jpg,Pierre-Auguste Renoir,Woman with a Parasol
17551,10444.jpg,Pierre-Auguste Renoir,Coco and Roses (study)
17601,36171.jpg,Camille Pissarro,"Farmyard at the Maison Rouge, Pontoise"
17609,19185.jpg,Pierre-Auguste Renoir,Young Woman in a Straw Hat
17644,13502.jpg,Camille Pissarro,"Road from Osny to Pontoise, Hoar Frost"
17685,17144.jpg,Camille Pissarro,"Ile Lacruix, Rouen. Effect of Fog."
17704,18920.jpg,Camille Pissarro,"Sunset, Rouen"
17752,17636.jpg,Pierre-Auguste Renoir,The Sleeper
17824,38933.jpg,Pierre-Auguste Renoir,Sleeping Nude with Hat (Repose)
17828,31122.jpg,Pierre-Auguste Renoir,The Fairies Pond
17876,32867.jpg,Pierre-Auguste Renoir,The Piano Lesson
17916,2362.jpg,Camille Pissarro,"Marketplace, Gisors"
17924,23190.jpg,Pierre-Auguste Renoir,Cagnes Landscape
17975,14559.jpg,Pyotr Konchalovsky,Portrait of girl sitting on a colorful carpet with the toys. (Kamushka Benediktova).
18058,21125.jpg,Pierre-Auguste Renoir,Dance at Bougival
18098,36179.jpg,Camille Pissarro,"The Village of Knocke, Belgium"
18105,102590.jpg,Camille Pissarro,Winter at Montfoucault 2
18136,1485.jpg,Camille Pissarro,"The Saint Sever Bridge at Rouen, Fog"
18221,31624.jpg,Camille Pissarro,"The Barn, Morning, Eragny"
18407,14448.jpg,Camille Pissarro,View of Rouen
18428,101622.jpg,Pierre-Auguste Renoir,Landscape
18497,19901.jpg,Camille Pissarro,"The Railway Bridge, Pontoise"
18661,17192.jpg,Camille Pissarro,Path of Hermitage at Pontoise
18679,38738.jpg,Pierre-Auguste Renoir,Hills Around Moulin Huet Bay
18818,32677.jpg,Camille Pissarro,Landscape with a Cowherd
18990,33683.jpg,Pierre-Auguste Renoir,Landscape
19019,34319.jpg,Pierre-Auguste Renoir,Portrait of an Infant
19149,33517.jpg,Pierre-Auguste Renoir,Breton Landscape Trees and Moor
19164,28301.jpg,Camille Pissarro,The Harvest at Montfoucault
19298,30657.jpg,Camille Pissarro,"Thaw, Pontoise"
19330,11170.jpg,Pierre-Auguste Renoir,La Grenouillere
19416,35356.jpg,Pierre-Auguste Renoir,Sleeping Cat
19442,15863.jpg,Camille Pissarro,"Sunset, Bazincourt Steeple"
19447,22372.jpg,Camille Pissarro,Sunset
19573,11691.jpg,Pierre-Auguste Renoir,Woman in Blue and Zaza in a Landscape
19600,37241.jpg,Camille Pissarro,In the hospital
19641,31527.jpg,Camille Pissarro,The Road from Versalles to Saint Germain at Louveciennes
19754,100159.jpg,Pierre-Auguste Renoir,Bouquet of Flowers
19779,38417.jpg,Pierre-Auguste Renoir,The Embroiderer (Woman Embroidering in a Garden)
19782,37472.jpg,Pierre-Auguste Renoir,Rue Caulaincourt
19803,23544.jpg,Pierre-Auguste Renoir,Leontine Reading
19895,17718.jpg,Camille Pissarro,Suicide of an abandoned woman
19931,16177.jpg,Pierre-Auguste Renoir,Bouquet of Roses in a Vase
19985,22965.jpg,Camille Pissarro,On Orchard in Pontoise in Winter
20049,14955.jpg,Boris Kustodiev,Portrait of the Painter Ivan Bilibin
20092,10534.jpg,Pierre-Auguste Renoir,Rural Scene
20111,35013.jpg,Pierre-Auguste Renoir,Riding in the Bois de Boulogne (Madame Henriette Darras or The Ride)
20140,37379.jpg,Camille Pissarro,Donkey Ride at La Roche-Guyon
20148,13488.jpg,Camille Pissarro,Street Snow Effect
20213,3102.jpg,Pierre-Auguste Renoir,Still Life with Figs
20236,38999.jpg,Camille Pissarro,Chestnut Orchard in Winter
20251,39430.jpg,Paul Gauguin,Clovis Gauguin asleep
20335,25417.jpg,Camille Pissarro,The Banks of the Seine at Bougival
20386,14563.jpg,Pierre-Auguste Renoir,"On the Seine, near Argenteuil"
20405,28086.jpg,Paul Gauguin,Bathing Place 
20414,35887.jpg,Pyotr Konchalovsky,Still Life with a red tray
20418,100564.jpg,Camille Pissarro,The war of haves and have nots
20472,22255.jpg,Jean-Baptiste-Camille Corot,Smugglers
20494,19555.jpg,Paul Gauguin,Garden under Snow
20601,10389.jpg,Jean-Baptiste-Camille Corot,A Chestnut Wood among the Rocks
20657,102469.jpg,Paul Gauguin,Rouen suburb
20717,1591.jpg,Pierre-Auguste Renoir,Head of a Woman in Red
20726,39806.jpg,Paul Gauguin,To Make a Bouquet
20742,37728.jpg,Camille Pissarro,The diligence
20748,12013.jpg,Paul Gauguin,The Ham
20756,100937.jpg,Pierre-Auguste Renoir,Young Woman in a Blue Hat
20801,33121.jpg,Pierre-Auguste Renoir,The Garden of Essai in Algiers
20843,19587.jpg,Camille Pissarro,The bohemian's wagon
20907,26088.jpg,Pierre-Auguste Renoir,Woman with a Straw Hat
20952,12870.jpg,Jean-Baptiste-Camille Corot,"Gisors, River Bordered by Trees"
20965,32783.jpg,Camille Pissarro,The hayymaker
20981,102680.jpg,Pierre-Auguste Renoir,"Medlar Trees, Cagnes"
20987,20273.jpg,Pierre-Auguste Renoir,Landscape
21040,21594.jpg,Paul Gauguin,Stream in Osny
21067,20935.jpg,Camille Pissarro,"The Saint Antoine Road at l'Hermitage, Pontoise"
21082,37976.jpg,Pierre-Auguste Renoir,Young Girl in a Straw Hat
21083,27534.jpg,Pierre-Auguste Renoir,The Bridge at Argenteuil in Autumn
21085,23598.jpg,Paul Gauguin,Quarries at Pontoise II
21142,23633.jpg,Camille Pissarro,Bathers 2
21190,101018.jpg,Pierre-Auguste Renoir,Rest
21286,34054.jpg,Pierre-Auguste Renoir,Young Girl Wearing a Red Hat
21294,101209.jpg,Pierre-Auguste Renoir,The Duck Pond
21310,10674.jpg,Pierre-Auguste Renoir,Bouquet of Chrysanthemums
21312,13503.jpg,Pierre-Auguste Renoir,Pierre Henri Renoir
21316,15443.jpg,Pierre-Auguste Renoir,A Fence in the Forest
21404,21600.jpg,Paul Gauguin,Still life of onions and pigeons and room interior in Copenhagen
21442,29571.jpg,Martiros Saryan,Village at the foot of the mountain
21453,38885.jpg,Pierre-Auguste Renoir,The Seine at Chatou
21468,13653.jpg,Pierre-Auguste Renoir,Lise with Umbrella
21474,22889.jpg,Paul Gauguin,Haymaking near Dieppe
21475,22697.jpg,Camille Pissarro,"The Avenue, Sydenham"
21502,102090.jpg,Pierre-Auguste Renoir,Two Girls in the Garden at Montmartre
21514,35255.jpg,Pierre-Auguste Renoir,Young Girls on the Beach
21539,13999.jpg,Paul Gauguin,Mette Gauguin in an Evening Dress
21558,30948.jpg,Pierre-Auguste Renoir,Young Woman with a Bun in Her Hair
21573,15136.jpg,Camille Pissarro,"The Cours la Reine at Rouen Morning, Sunlight"
21586,28802.jpg,Pierre-Auguste Renoir,Seated Little Girl with a Blue Background
21671,39714.jpg,Paul Gauguin,Portrait of Claude Antoine Charles Favre
